"filename", "language", "Visual Basic", "XML", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmLatLonInputDMS.Designer.vb", "Visual Basic", 316, 0, 0, 0, 0, 83, 5, 404
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmLatLonInputDMS.vb", "Visual Basic", 70, 0, 0, 0, 0, 7, 9, 86
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMark_Select.Designer.vb", "Visual Basic", 54, 0, 0, 0, 0, 14, 5, 73
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMark_Select.vb", "Visual Basic", 77, 0, 0, 0, 0, 0, 11, 88
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMark_Set.Designer.vb", "Visual Basic", 360, 0, 0, 0, 0, 95, 5, 460
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMark_Set.vb", "Visual Basic", 153, 0, 0, 0, 0, 9, 23, 185
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMessage.Designer.vb", "Visual Basic", 119, 0, 0, 0, 0, 26, 5, 150
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMessage.vb", "Visual Basic", 135, 0, 0, 0, 0, 55, 3, 193
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMessageBox.Designer.vb", "Visual Basic", 81, 0, 0, 0, 0, 23, 5, 109
"f:\MANDARA10F\MANDARA10sourceCode10015\mandara10Ver10015\mandara2\General-Purpose-Form\frmMessageBox.vb", "Visual Basic", 84, 0, 0, 0, 0, 0, 4, 88
